Code,Company,Industry,Exchange
11AMD,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT MONTHLY DIVIDEND PLANDIVIDEND PAYOUT, ,BSE
11AMR,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT MONTHLY DIVIDEND PLANREINVESTMENT, ,BSE
11AQD,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT QUARTERLY DIVIDEND PLANDIVIDEND PAYOUT, ,BSE
11AQR,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT QUARTERLY DIVIDEND PLANREINVESTMENT, ,BSE
11DPD,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIVIDEND PLANDIVIDEND PAYOUT, ,BSE
11DPR,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIVIDEND PLANDIVIDEND REINVESTMENT, ,BSE
11GPG,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2GROWTH PLAN GROWTH OPTIONGROWTH, ,BSE
11MPD,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2MONTHLY DIVIDEND PLANDIVIDEND PAYOUT, ,BSE
11MPR,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2MONTHLY DIVIDEND PLANREINVESTMENT, ,BSE
11QPD,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2QUARTERLY DIVIDEND PLANDIVIDEND PAYOUT, ,BSE
11QPR,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2QUARTERLY DIVIDEND PLANREINVESTMENT, ,BSE
1STCUS,FIRST CUSTODIAN FUND (INDIA) LTD.,Finance (including NBFCs),BSE
20MICRONS,20 Microns Limited,Mining,BSE
20MICRONS,20 Microns Limited,Mining,NSE
21STCENMGM,21st Century Management Services Limited,Other Financial Services,NSE
21STCENMGM,21st Century Management Services Limited,Other Financial Services,BSE
3IINFOTECH,3i Infotech Limited,IT Consulting & Software,BSE
3IINFOTECH,3i Infotech Limited,IT Consulting & Software,NSE
3MINDIA,3M India Limited,Diversified,NSE
3MINDIA,3M India Limited,Diversified,BSE
3PLAND,3P Land Holdings Limited,Paper & Paper Products,BSE
3PLAND,3P Land Holdings Limited,Paper & Paper Products,NSE
4THGEN,FOURTH GENERATION INFORMATION SYSTEMS LTD.,IT Software Products,BSE
5PAISA,5Paisa Capital Limited,Other Financial Services,BSE
5PAISA,5Paisa Capital Limited,Other Financial Services,NSE
63MOONS,63 moons technologies limited,IT Consulting & Software,BSE
63MOONS,63 moons technologies limited,IT Consulting & Software,NSE
7NR,7NR Retail Ltd,Specialty Retail,BSE
7TEC,SAVEN TECHNOLOGIES LTD.,IT Software Products,BSE
A2ZINFRA,A2Z Infra Engineering Limited,Utilities:Non-Elec.,NSE
A2ZINFRA,A2Z Infra Engineering Limited,Utilities:Non-Elec.,BSE
AAIL,Akar Auto Industries Ltd,Industrial Machinery,BSE
AAKASH,Aakash Exploration Services Limited,,NSE
AAL,A-1 Acid Ltd,Comm.Trading  & Distribution,BSE
AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,Textiles,BSE
AANCHALISP,Aanchal Ispat Ltd,Iron & Steel/Interm.Products,BSE
AARCOM,AAR Commercial Company Ltd,Distributors,BSE
AARNAV,Aarnav Fashions Ltd,Other Financial Services,BSE
AARON,Aaron Industries Limited,,NSE
AARSHYAM,Aar Shyam India Investment Company Ltd,Finance (including NBFCs),BSE
AARTECH,Aartech Solonics Ltd,Heavy Electrical Equipment,BSE
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,BSE
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,NSE
AARTIIND,Aarti Industries Limited,Specialty Chemicals,NSE
AARTIIND,Aarti Industries Limited,Specialty Chemicals,BSE
AARTISURF,Aarti Surfactants Limited,Specialty Chemicals,NSE
AARTISURF,Aarti Surfactants Limited,Specialty Chemicals,BSE
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,NSE
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,BSE
AARVI,Aarvi Encon Limited,,NSE
AARVINFRA,AARV Infratel Ltd,Textiles,BSE
AAVAS,Aavas Financiers Limited,Housing Finance ,BSE
AAVAS,Aavas Financiers Limited,Housing Finance ,NSE
AAYUSH,Aayush Food and Herbs Ltd,Packaged Foods,BSE
ABAN,Aban Offshore Limited,Exploration & Production,NSE
ABAN,Aban Offshore Limited,Exploration & Production,BSE
ABANSENT,Abans Enterprises Ltd,Comm.Trading  & Distribution,BSE
ABB,ABB India Limited,Heavy Electrical Equipment,NSE
ABB,ABB India Limited,Heavy Electrical Equipment,BSE
ABBOTINDIA,Abbott India Limited,Pharmaceuticals,BSE
ABBOTINDIA,Abbott India Limited,Pharmaceuticals,NSE
ABCAPITAL,Aditya Birla Capital Limited,Holding Companies,NSE
ABCAPITAL,Aditya Birla Capital Limited,Holding Companies,BSE
ABCGAS,ABC GAS (INTERNATIONAL) LTD.,Copper,BSE
ABCINDQ,ABC INDIA LTD.-$,Surface Transportation,BSE
ABFRL,Aditya Birla Fashion and Retail Limited,Department Stores,NSE
ABFRL,Aditya Birla Fashion and Retail Limited,Department Stores,BSE
ABHICAP,ABHINAV CAPITAL SERVICES LTD.,Finance (including NBFCs),BSE
ABHIFIN,Abhishek Finlease Ltd,Consulting Services,BSE
ABHIINFRA,Abhishek Infraventures Ltd,Realty,BSE
ABHIJIT,Abhijit Trading Company Ltd,Other Food Products,BSE
ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,Finance (including NBFCs),BSE
ABMINTLTD,ABM International Limited,,NSE
ABMKNO,ABM KNOWLEDGEWARE LTD.,IT Software Products,BSE
ABSLBANETF,ADITYA BIRLA SUN LIFE BANKING ETF, ,BSE
ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF, ,BSE
ABSLRIF6DD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- DIVIDEND PAYOUT, ,BSE
ABSLRIF6DG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- GROWTH, ,BSE
ABSLRIF6RD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- DIVIDEND PAYOUT, ,BSE
ABSLRIF6RG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- GROWTH, ,BSE
ABSLRIF7DD,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan - Dividend Payout, ,BSE
ABSLRIF7DG,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan - Growth Option, ,BSE
ABSLRIF7RD,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan - Dividend Payout, ,BSE
ABSLRIF7RG,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan - Growth Option, ,BSE
ABVL,Arunjyoti Bio Ventures Ltd,Other Financial Services,BSE
ACC,ACC Limited,Cement & Cement Products,NSE
ACC,ACC Limited,Cement & Cement Products,BSE
ACCEL,Accel Ltd,Storage Media & Peripherals,BSE
ACCELYA,Accelya Solutions India Limited,IT Consulting & Software,NSE
ACCELYA,Accelya Solutions India Limited,IT Consulting & Software,BSE
ACCURACY,Accuracy Shipping Limited,,NSE
ACE,Action Construction Equipment Limited,Transport Related Services,NSE
ACE,Action Construction Equipment Limited,Transport Related Services,BSE
ACEMEN,Ace Men Engg Works Ltd,Distributors,BSE
ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,IT Software Products,BSE
ACEWIN,Acewin Agriteck Ltd,Other Food Products,BSE
ACFL,Apex Capital And Finance Ltd,Finance (including NBFCs),BSE
ACFSL,Amrapali Capital and Finance Services Ltd,Finance (including NBFCs),BSE
ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$,Auto Parts & Equipment,BSE
ACIIN,ACI INFOCOM LTD.,Storage Media & Peripherals,BSE
ACKNIT,ACKNIT INDUSTRIES LTD.,Other Apparels & Accessories,BSE
ACME,Acme Resources Ltd,Finance (including NBFCs),BSE
ACML,Aditya Consumer Marketing Ltd,Distributors,BSE
ACROW,ACROW INDIA LTD.,Iron & Steel Products,BSE
ACRYSIL,Acrysil Limited,Plastic Products,BSE
ACRYSIL,Acrysil Limited,Plastic Products,NSE
ACTIVE,Active Clothing Co Ltd,Other Apparels & Accessories,BSE
ADANIENT,Adani Enterprises Limited,Comm.Trading  & Distribution,BSE
ADANIENT,Adani Enterprises Limited,Comm.Trading  & Distribution,NSE
ADANIGREEN,Adani Green Energy Limited,Heavy Electrical Equipment,NSE
ADANIGREEN,Adani Green Energy Limited,Heavy Electrical Equipment,BSE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Marine Port & Services,BSE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Marine Port & Services,NSE
ADANIPOWER,Adani Power Limited,Electric Utilities,NSE
ADANIPOWER,Adani Power Limited,Electric Utilities,BSE
ADANITRANS,Adani Transmission Limited,Electric Utilities,BSE
ADANITRANS,Adani Transmission Limited,Electric Utilities,NSE
ADARSH,Adarsh Mercantile Ltd,Comm.Trading  & Distribution,BSE
ADARSHPL,ADARSH PLANT PROTECT LTD.,Agrochemicals,BSE
ADCINDIA,ADC India Communications Limited-$,Telecom Equipment,BSE
ADCON,Adcon Capital Services Ltd,Finance (including NBFCs),BSE
ADDIND,ADDI INDUSTRIES LTD.-$,Other Apparels & Accessories,BSE
ADFFOODS,ADF Foods Limited,Packaged Foods,NSE
ADFFOODS,ADF Foods Limited,Packaged Foods,BSE
ADHARSHILA,Adharshila Capital Services Ltd,Finance (including NBFCs),BSE
ADHIRAJ,Adhiraj Distributors Ltd, ,BSE
ADHUNIKIND,Adhunik Industries Limited,Iron & Steel/Interm.Products,BSE
ADHUNIKIND,Adhunik Industries Limited,Iron & Steel/Interm.Products,NSE
ADIEXRE,ADINATH EXIM RESOURCES LTD.,Investment Companies,BSE
ADINATH,ADINATH TEXTILES LTD.,Textiles,BSE
ADITRI,Aditri Industries Ltd,Other Apparels & Accessories,BSE
ADITYA,ADITYA ISPAT LTD.,Iron & Steel/Interm.Products,BSE
ADITYASP,ADITYA SPINNERS LTD.,Textiles,BSE
ADL,Archidply Decor Limited,Forest Products,NSE
ADL,Archidply Decor Limited,Forest Products,BSE
ADMANUM,AD-MANUM FINANCE LTD.,Finance (including NBFCs),BSE
ADORFO,ADOR FONTECH LTD.-$,Comm.Trading  & Distribution,BSE
ADORMUL,ADOR MULTIPRODUCTS LTD.,Personal Products,BSE
ADORWELD,Ador Welding Limited,Other Industrial Goods,BSE
ADORWELD,Ador Welding Limited,Other Industrial Goods,NSE
ADROITINFO,Adroit Infotech Limited,IT Consulting & Software,BSE
ADROITINFO,Adroit Infotech Limited,IT Consulting & Software,NSE
ADSL,Allied Digital Services Limited,IT Consulting & Software,BSE
ADSL,Allied Digital Services Limited,IT Consulting & Software,NSE
ADVAIT,Advait Infratech Ltd,Other Elect.Equip./ Prod.,BSE
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,BSE
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,NSE
ADVENT,ADVENT COMPUTER SERVICES LTD.,IT Software Products,BSE
ADVENZYMES,Advanced Enzyme Technologies Limited,Other Agricultural Products,BSE
ADVENZYMES,Advanced Enzyme Technologies Limited,Other Agricultural Products,NSE
ADVIKCA,Advik Capital Ltd,Finance (including NBFCs),BSE
ADVITIYA,Advitiya Trade India Ltd,Comm.Trading  & Distribution,BSE
ADVPETR-B,ADVANCE PETROCHEMICALS LTD.,Commodity Chemicals,BSE
AEGISCHEM,Aegis Logistics Limited,,NSE
AEGISLOG,AEGIS LOGISTICS LTD.,Oil Marketing & Distribution,BSE
AEL,Amba Enterprises Ltd,Other Elect.Equip./ Prod.,BSE
AFEL,A.F. Enterprises Ltd,Investment Companies,BSE
AFFLE,Affle (India) Limited,Advertising & Media,NSE
AFFLE,Affle (India) Limited,Advertising & Media,BSE
AFFORDABLE,Affordable Robotic & Automation Ltd,Industrial Machinery,BSE
AGARIND,Agarwal Industrial Corporation Limited,Petrochemicals,BSE
AGARIND,Agarwal Industrial Corporation Limited,Petrochemicals,NSE
AGCNET,AGC Networks Limited,IT Consulting & Software,NSE
AGCNET,AGC Networks Limited,IT Consulting & Software,BSE
AGIIL,AGI Infra Ltd,Realty,BSE
AGIOPAPER,AGIO PAPER & INDUSTRIES LTD.-$,Paper & Paper Products,BSE
AGOL,Ashapuri Gold Ornament Ltd,Other Apparels & Accessories,BSE
AGRIMONY,Agrimony Commodities Ltd,Comm.Trading  & Distribution,BSE
AGRITECH,Agri-Tech (India) Limited,Other Agricultural Products,NSE
AGRITECH,Agri-Tech (India) Limited,Other Agricultural Products,BSE
AGROPHOS,Agro Phos India Limited,,NSE
AHLADA,Ahlada Engineers Limited,,NSE
AHLEAST,Asian Hotels (East) Limited,Hotels,BSE
AHLEAST,Asian Hotels (East) Limited,Hotels,NSE
AHLUCONT,Ahluwalia Contracts (India) Limited,Realty,BSE
AHLUCONT,Ahluwalia Contracts (India) Limited,Realty,NSE
AHLWEST,Asian Hotels (West) Limited,Hotels,BSE
AHLWEST,Asian Hotels (West) Limited,Hotels,NSE
AHMDSTE,AHMEDABAD STEELCRAFT LTD.,Iron & Steel/Interm.Products,BSE
AIAENG,AIA Engineering Limited,Other Industrial Goods,BSE
AIAENG,AIA Engineering Limited,Other Industrial Goods,NSE
AICHAMP,AI CHAMPDANY INDUSTRIES LTD.,Jute & Jute Products,BSE
AIHL,Ambassador Intra Holdings Ltd,Comm.Trading  & Distribution,BSE
AIIL,Authum Investment & Infrastructure Ltd,Finance (including NBFCs),BSE
AIMCOPEST,AIMCO PESTICIDES LTD.,Agrochemicals,BSE
AIML,ALLIANCE INTEGRATED METALIKS LTD.,Iron & Steel Products,BSE
AINFRA,A Infrastructure Ltd,Cement & Cement Products,BSE
AIRAN,Airan Limited,,NSE
AISHWARYA,Aishwarya Technologies And Telecom Ltd,Telecom Equipment,BSE
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,BSE
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,NSE
AJANTSOY,AJANTA SOYA LTD.,Edible Oils,BSE
AJCON,AJCON GLOBAL SERVICES LTD.,Other Financial Services,BSE
AJEL,AJEL LTD.,IT Consulting & Software,BSE
AJIL,Atlas Jewellery India Limited,Other Apparels & Accessories,BSE
AJMERA,Ajmera Realty & Infra India Limited,Realty,BSE
AJMERA,Ajmera Realty & Infra India Limited,Realty,NSE
AJWAFUN,AJWA FUN WORLD & RESORT LTD.,Other Leisure Facilities,BSE
AKASH,Akash Infra-Projects Limited,,NSE
AKASHDEEP,Akashdeep Metal Industries Ltd,Finance (including NBFCs),BSE
AKCAPIT,A.K.CAPITAL SERVICES LTD.,Finance (including NBFCs),BSE
AKG,Akg Exim Limited,,NSE
AKI,AKI India Ltd,Other Apparels & Accessories,BSE
AKM,AKM Lace and Embrotex Ltd,Textiles,BSE
AKSCHEM,AKSHARCHEM (INDIA) LTD.-$,Specialty Chemicals,BSE
AKSHAR,Akshar Spintex Ltd,Textiles,BSE
AKSHARCHEM,AksharChem India Limited,,NSE
AKSHOPTFBR,Aksh Optifibre Limited,Telecom Cables,NSE
AKSHOPTFBR,Aksh Optifibre Limited,Telecom Cables,BSE
AKSPINTEX,A.K. Spintex Ltd,Textiles,BSE
AKZOINDIA,Akzo Nobel India Limited,Furniture-Furnishing-Paints,BSE
AKZOINDIA,Akzo Nobel India Limited,Furniture-Furnishing-Paints,NSE
ALAN SCOTT,Alan Scott Industries Ltd,Movies & Entertainment,BSE
ALANKIT,Alankit Limited,Misc.Commercial Services,BSE
ALANKIT,Alankit Limited,Misc.Commercial Services,NSE
ALBERTDA,ALBERT DAVID LTD.-$,Pharmaceuticals,BSE
ALBERTDAVD,Albert David Limited,,NSE
ALCHCORP,ALCHEMIST CORPORATION LTD.,Commodity Chemicals,BSE
ALEMBICLTD,Alembic Limited,Pharmaceuticals,NSE
ALEMBICLTD,Alembic Limited,Pharmaceuticals,BSE
ALEXANDER,Alexander Stamps And Coin Ltd,Diversified,BSE
ALFAICA,ALFA ICA (INDIA) LTD.,Plastic Products,BSE
ALFATRAN,ALFA TRANSFORMERS LTD.,Other Elect.Equip./ Prod.,BSE
ALFAVIO,ALFAVISION OVERSEAS (INDIA) LTD.,Finance (including NBFCs),BSE
ALFL,Abhinav Leasing & Finance Ltd,Finance (including NBFCs),BSE
ALFREDHE,ALFRED HERBERT (INDIA) LTD.,Finance (including NBFCs),BSE
ALICON,Alicon Castalloy Limited,Auto Parts & Equipment,BSE
ALICON,Alicon Castalloy Limited,Auto Parts & Equipment,NSE
ALKA,ALKA INDIA LTD.,Textiles,BSE
ALKALI,Alkali Metals Limited,Specialty Chemicals,NSE
ALKALI,Alkali Metals Limited,Specialty Chemicals,BSE
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,BSE
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals,BSE
ALLCARGO,Allcargo Logistics Limited,Transportation - Logistics,NSE
ALLCARGO,Allcargo Logistics Limited,Transportation - Logistics,BSE
ALLSEC,Allsec Technologies Limited,BPO/KPO,BSE
ALLSEC,Allsec Technologies Limited,BPO/KPO,NSE
ALMONDZ,Almondz Global Securities Limited,Other Financial Services,BSE
ALMONDZ,Almondz Global Securities Limited,Other Financial Services,NSE
ALNATRD,ALNA TRADING & EXPORTS LTD.,Comm.Trading  & Distribution,BSE
ALOKINDS,Alok Industries Limited,,NSE
ALOKTEXT,ALOK INDUSTRIES LTD.,Textiles,BSE
ALPA,Alpa Laboratories Limited,Biotechnology,BSE
ALPA,Alpa Laboratories Limited,Biotechnology,NSE
ALPHAGEO,Alphageo (India) Limited,Oil Equipment & Services,NSE
ALPHAGEO,Alphageo (India) Limited,Oil Equipment & Services,BSE
ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Realty,BSE
ALPSINDUS,Alps Industries Limited,Textiles,NSE
ALPSINDUS,Alps Industries Limited,Textiles,BSE
ALSL,Alacrity Securities Ltd,Other Financial Services,BSE
ALSTONE,Alstone Textiles (India) Ltd,Distributors,BSE
ALUFLUOR,ALUFLUORIDE LTD.,Commodity Chemicals,BSE
AMAL,AMAL LTD.,Specialty Chemicals,BSE
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.,Misc.Commercial Services,BSE
AMANITRA,AMANI TRADING & EXPORTS LTD.,Comm.Trading  & Distribution,BSE
AMARAJABAT,Amara Raja Batteries Limited,Auto Parts & Equipment,NSE
AMARAJABAT,Amara Raja Batteries Limited,Auto Parts & Equipment,BSE
AMARDEE,AMRADEEP INDUSTRIES LTD.,Plastic Products,BSE
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.,Textiles,BSE
AMARNATH,Sri Amarnath Finance Ltd,Finance (including NBFCs),BSE
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Pharmaceuticals,BSE
AMBARPIL,Ambar Protein Industries Ltd,Edible Oils,BSE
AMBER,Amber Enterprises India Limited,Consumer Electronics,NSE
AMBER,Amber Enterprises India Limited,Consumer Electronics,BSE
AMBIKCO,Ambika Cotton Mills Limited,Textiles,NSE
AMBIKCO,Ambika Cotton Mills Limited,Textiles,BSE
AMBITION,Ambition Mica Ltd,Paper & Paper Products,BSE
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,NSE
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,BSE
AMCOIND,AMCO INDIA LTD.-$,Fibres & Plastics,BSE
AMDIND,AMD Industries Limited,Other Industrial Goods,NSE
AMDIND,AMD Industries Limited,Other Industrial Goods,BSE
AMFL,A & M Febcon Ltd,Industrial Machinery,BSE
AMFORG,AMFORGE INDUSTRIES LTD.,Auto Parts & Equipment,BSE
AMINTAN,Amin Tannery Ltd,Other Apparels & Accessories,BSE
AMITINT,AMIT INTERNATIONAL LTD.,Textiles,BSE
AMJLAND,Amj Land Holdings Limited,Realty,BSE
AMJLAND,Amj Land Holdings Limited,Realty,NSE
AML,Ashoka Metcast Ltd,Construction & Engineering,BSE
AMNPLST,AMINES & PLASTICIZERS LTD.,Commodity Chemicals,BSE
AMRAAGRI,AMRAWORLD AGRICO LTD.,Textiles,BSE
AMRAFIN,Amrapali Fincap Ltd,Finance (including NBFCs),BSE
AMRAPLIN,AMRAPALI INDUSTRIES LTD.,Comm.Trading  & Distribution,BSE
AMRITCORP,AMRIT CORP.LTD.-$,Packaged Foods,BSE
AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,BSE
AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,NSE
AMS,AMS Polymers Ltd,Specialty Chemicals,BSE
AMTL,ADVANCE METERING TECHNOLOGY LTD.,Electric Utilities,BSE
ANANDPROJ,Anand Projects Ltd,Construction & Engineering,BSE
ANANTRAJ,Anant Raj Limited,Realty,NSE
ANANTRAJ,Anant Raj Limited,Realty,BSE
ANDHRACEMT,Andhra Cements Limited,Cement & Cement Products,BSE
ANDHRACEMT,Andhra Cements Limited,Cement & Cement Products,NSE
ANDHRAPAP,ANDHRA PAPER LIMITED,Paper & Paper Products,NSE
ANDHRAPAP,ANDHRA PAPER LIMITED,Paper & Paper Products,BSE
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Commodity Chemicals,BSE
ANDHRSUGAR,The Andhra Sugars Limited,Commodity Chemicals,NSE
ANDHRSUGAR,The Andhra Sugars Limited,Commodity Chemicals,BSE
ANDREWYU,ANDREW YULE & COMPANY LTD.,Tea & Coffee,BSE
ANERI,Aneri Fincap Ltd,Finance (including NBFCs),BSE
ANG,ANG Lifesciences India Ltd,Healthcare Services,BSE
ANGEL,Angel Fibers Ltd,Textiles,BSE
ANGELBRKG,Angel Broking Limited,Other Financial Services,NSE
ANGELBRKG,Angel Broking Limited,Other Financial Services,BSE
ANIKINDS,Anik Industries Limited,Other Agricultural Products,BSE
ANIKINDS,Anik Industries Limited,Other Agricultural Products,NSE
ANJANI,ANJANI SYNTHETICS LTD.-$,Textiles,BSE
ANJANIFIN,ANJANI FINANCE LTD.,Finance (including NBFCs),BSE
ANJANIFOODS,Anjani Foods Ltd,Packaged Foods,BSE
ANKIN,ANKA INDIA LTD.,Footwear,BSE
ANKITMETAL,Ankit Metal & Power Limited,Iron & Steel/Interm.Products,BSE
ANKITMETAL,Ankit Metal & Power Limited,Iron & Steel/Interm.Products,NSE
ANMOL,Anmol India Ltd,Distributors,BSE
ANNAINFRA,ANNA INFRASTRUCTURES LTD.,Finance (including NBFCs),BSE
ANSALAPI,Ansal Properties & Infrastructure Limited,Realty,BSE
ANSALAPI,Ansal Properties & Infrastructure Limited,Realty,NSE
ANSALBU,ANSAL BUILDWELL LTD.-$,Realty,BSE
ANSALHSG,Ansal Housing Limited,Realty,NSE
ANSALHSG,Ansal Housing Limited,Realty,BSE
ANSHNCO,ANSHUNI COMMERCIALS LTD.,Other Apparels & Accessories,BSE
ANSINDUS,ANS Industries Ltd,Non-alcoholic Beverages,BSE
ANTARIKSH,Antariksh Industries Ltd,Realty,BSE
ANUBHAV,Anubhav Infrastructure Ltd,Construction & Engineering,BSE
ANUHPHR,ANUH PHARMA LTD.,Pharmaceuticals,BSE
ANUP,The Anup Engineering Limited,Industrial Machinery,NSE
ANUP,The Anup Engineering Limited,Industrial Machinery,BSE
ANUPAM,Anupam Finserv Ltd,Finance (including NBFCs),BSE
ANUPMAL,ANUP MALLEABLE LTD.,Iron & Steel Products,BSE
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals,NSE
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals,BSE
ANUROOP,Anuroop Packaging Ltd,Containers & Packaging,BSE
APARINDS,Apar Industries Limited,Other Elect.Equip./ Prod.,NSE
APARINDS,Apar Industries Limited,Other Elect.Equip./ Prod.,BSE
APCL,Anjani Portland Cement Limited,Cement & Cement Products,NSE
APCL,Anjani Portland Cement Limited,Cement & Cement Products,BSE
APCOTEXIND,Apcotex Industries Limited,Other Industrial Goods,BSE
